,region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,class
16,5.0,40.0,0.0,0.0,0.0,90.0,672.0,80.0,687.0,407.0,167.0,224.0,116.0,353.0,254.0,116.0,226.0,1317.0,1376.0,0.0
17,202.0,171.0,0.0,0.0,0.0,133.0,777.0,120.0,591.0,853.0,386.0,513.0,381.0,227.0,440.0,52.0,517.0,689.0,1202.0,4.0
18,242.0,109.0,0.0,0.0,0.0,146.0,912.0,78.0,625.0,758.0,352.0,431.0,346.0,292.0,316.0,112.0,435.0,273.0,1271.0,1.0
19,145.0,86.0,0.0,0.0,0.0,197.0,928.0,26.0,200.0,760.0,363.0,419.0,355.0,322.0,261.0,139.0,423.0,169.0,1303.0,1.0
20,183.0,134.0,0.0,0.0,0.0,43.0,264.0,5.0,69.0,15.0,3.0,11.0,1.0,369.0,112.0,246.0,11.0,1476.0,1266.0,6.0
21,177.0,117.0,0.0,0.0,0.0,18.0,121.0,54.0,48.0,140.0,71.0,58.0,31.0,423.0,108.0,191.0,70.0,1557.0,1615.0,0.0
22,131.0,123.0,0.0,0.0,0.0,112.0,837.0,77.0,556.0,147.0,20.0,103.0,44.0,268.0,232.0,223.0,102.0,1798.0,109.0,2.0
23,82.0,17.0,0.0,0.0,0.0,16.0,39.0,52.0,147.0,1105.0,548.0,690.0,575.0,41.0,566.0,133.0,694.0,260.0,106.0,5.0
24,125.0,223.0,0.0,0.0,0.0,66.0,75.0,65.0,160.0,136.0,38.0,38.0,74.0,333.0,57.0,281.0,79.0,1537.0,1698.0,3.0
25,224.0,47.0,0.0,0.0,0.0,13.0,167.0,16.0,97.0,192.0,50.0,127.0,48.0,300.0,246.0,177.0,125.0,1651.0,876.0,6.0
26,13.0,109.0,0.0,0.0,0.0,12.0,38.0,15.0,76.0,43.0,0.0,35.0,8.0,332.0,156.0,239.0,35.0,1898.0,267.0,2.0
27,4.0,199.0,0.0,0.0,1.0,101.0,605.0,134.0,777.0,817.0,358.0,489.0,360.0,217.0,436.0,66.0,493.0,794.0,1081.0,4.0
28,78.0,51.0,0.0,0.0,0.0,28.0,139.0,52.0,216.0,1082.0,552.0,663.0,543.0,126.0,537.0,60.0,667.0,203.0,538.0,5.0
29,17.0,72.0,0.0,0.0,1.0,170.0,1004.0,222.0,1095.0,296.0,81.0,199.0,91.0,230.0,311.0,179.0,199.0,1696.0,359.0,2.0
30,213.0,232.0,0.0,0.0,0.0,115.0,658.0,107.0,663.0,364.0,127.0,139.0,193.0,286.0,43.0,339.0,201.0,1043.0,1752.0,3.0
31,93.0,129.0,0.0,0.0,0.0,4.0,7.0,10.0,6.0,75.0,16.0,55.0,11.0,341.0,176.0,209.0,54.0,1776.0,1186.0,6.0
32,53.0,131.0,0.0,0.0,0.0,43.0,366.0,88.0,688.0,48.0,8.0,33.0,8.0,350.0,144.0,233.0,33.0,1756.0,791.0,6.0
33,106.0,135.0,0.0,0.0,0.0,95.0,443.0,91.0,502.0,449.0,150.0,258.0,146.0,251.0,311.0,158.0,260.0,1277.0,564.0,1.0
34,92.0,222.0,0.0,1.0,0.0,93.0,790.0,88.0,389.0,260.0,85.0,97.0,142.0,295.0,52.0,321.0,151.0,1342.0,1766.0,3.0
35,244.0,235.0,0.0,0.0,0.0,98.0,517.0,77.0,222.0,306.0,96.0,138.0,150.0,268.0,110.0,286.0,159.0,1125.0,1911.0,3.0
36,47.0,162.0,0.0,0.0,0.0,78.0,459.0,75.0,580.0,398.0,147.0,147.0,209.0,300.0,25.0,344.0,218.0,928.0,1700.0,3.0
37,238.0,111.0,0.0,0.0,0.0,10.0,14.0,10.0,42.0,130.0,63.0,60.0,27.0,409.0,124.0,189.0,64.0,1589.0,1563.0,0.0
38,183.0,134.0,0.0,0.0,0.0,67.0,206.0,84.0,390.0,83.0,21.0,52.0,19.0,346.0,158.0,223.0,51.0,1691.0,1017.0,6.0
39,108.0,135.0,0.0,0.0,0.0,2.0,40.0,2.0,33.0,1.0,0.0,1.0,0.0,374.0,97.0,257.0,1.0,29.0,791.0,2.0
40,110.0,232.0,0.0,0.0,0.0,123.0,697.0,157.0,930.0,528.0,188.0,197.0,281.0,246.0,8.0,376.0,292.0,1033.0,1745.0,3.0
41,154.0,29.0,0.0,0.0,0.0,95.0,689.0,1.0,33.0,34.0,11.0,14.0,9.0,374.0,102.0,251.0,14.0,36.0,1439.0,6.0
42,191.0,146.0,0.0,0.0,0.0,74.0,215.0,43.0,36.0,381.0,124.0,154.0,201.0,255.0,69.0,344.0,210.0,1185.0,1852.0,3.0
43,208.0,235.0,0.0,0.0,0.0,106.0,868.0,103.0,936.0,227.0,68.0,73.0,130.0,295.0,34.0,339.0,139.0,1487.0,1720.0,3.0
44,117.0,114.0,0.0,0.0,0.0,12.0,104.0,54.0,97.0,31.0,0.0,28.0,3.0,344.0,147.0,236.0,28.0,1898.0,543.0,2.0
45,42.0,141.0,0.0,0.0,0.0,96.0,612.0,70.0,339.0,41.0,9.0,26.0,6.0,361.0,131.0,235.0,26.0,1682.0,1260.0,6.0
46,245.0,81.0,0.0,0.0,0.0,62.0,220.0,15.0,28.0,251.0,68.0,182.0,67.0,253.0,316.0,151.0,180.0,1663.0,649.0,6.0
47,62.0,190.0,0.0,0.0,0.0,100.0,618.0,98.0,582.0,953.0,432.0,572.0,433.0,193.0,483.0,42.0,576.0,605.0,1031.0,4.0
48,32.0,106.0,0.0,0.0,0.0,10.0,2.0,3.0,3.0,29.0,0.0,28.0,1.0,346.0,149.0,232.0,28.0,1898.0,663.0,2.0
49,117.0,74.0,0.0,0.0,0.0,125.0,918.0,94.0,1019.0,190.0,32.0,134.0,54.0,250.0,270.0,202.0,130.0,1764.0,233.0,2.0
50,120.0,49.0,0.0,0.0,0.0,103.0,740.0,105.0,812.0,541.0,218.0,298.0,170.0,319.0,316.0,85.0,301.0,1220.0,1328.0,0.0
51,217.0,104.0,0.0,0.0,0.0,66.0,224.0,12.0,117.0,486.0,173.0,256.0,167.0,280.0,264.0,178.0,258.0,891.0,607.0,6.0
52,208.0,0.0,0.0,0.0,0.0,56.0,86.0,92.0,915.0,1267.0,678.0,779.0,688.0,201.0,318.0,201.0,783.0,13.0,85.0,5.0
53,54.0,198.0,0.0,1.0,0.0,94.0,520.0,74.0,411.0,260.0,92.0,93.0,139.0,316.0,40.0,312.0,148.0,1131.0,1699.0,3.0
54,49.0,188.0,0.0,0.0,0.0,124.0,819.0,153.0,953.0,864.0,384.0,524.0,389.0,198.0,465.0,56.0,528.0,741.0,972.0,4.0
55,159.0,30.0,0.0,0.0,0.0,56.0,360.0,5.0,40.0,19.0,5.0,11.0,3.0,371.0,108.0,248.0,11.0,1495.0,1300.0,6.0
56,141.0,129.0,0.0,0.0,0.0,142.0,519.0,77.0,277.0,536.0,208.0,280.0,199.0,294.0,249.0,180.0,282.0,470.0,775.0,1.0
57,8.0,83.0,0.0,0.0,0.0,31.0,232.0,65.0,245.0,1109.0,572.0,666.0,557.0,205.0,472.0,42.0,670.0,94.0,1101.0,5.0
58,107.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,375.0,95.0,258.0,0.0,0.0,1624.0,2.0
59,55.0,96.0,0.0,0.0,0.0,75.0,65.0,139.0,1082.0,793.0,365.0,442.0,365.0,278.0,317.0,125.0,446.0,234.0,1169.0,1.0
60,53.0,165.0,0.0,0.0,0.0,100.0,293.0,101.0,785.0,810.0,363.0,478.0,353.0,249.0,411.0,62.0,482.0,710.0,1243.0,4.0
61,40.0,92.0,0.0,0.0,0.0,107.0,832.0,84.0,542.0,949.0,437.0,550.0,440.0,233.0,416.0,73.0,554.0,333.0,1136.0,1.0
62,66.0,125.0,0.0,0.0,0.0,176.0,875.0,101.0,855.0,325.0,81.0,221.0,97.0,199.0,352.0,169.0,223.0,1694.0,287.0,2.0
63,247.0,47.0,0.0,0.0,0.0,82.0,414.0,7.0,87.0,204.0,54.0,131.0,53.0,298.0,244.0,181.0,128.0,1629.0,818.0,6.0
64,89.0,90.0,0.0,1.0,0.0,62.0,140.0,83.0,638.0,419.0,181.0,218.0,121.0,381.0,223.0,118.0,220.0,1112.0,1464.0,0.0
65,179.0,212.0,0.0,0.0,0.0,133.0,874.0,120.0,986.0,317.0,104.0,120.0,172.0,280.0,49.0,339.0,180.0,1319.0,1782.0,3.0
66,95.0,2.0,0.0,0.0,0.0,54.0,201.0,23.0,47.0,1229.0,642.0,754.0,655.0,122.0,435.0,168.0,758.0,62.0,110.0,5.0
67,111.0,79.0,0.0,0.0,0.0,182.0,972.0,72.0,364.0,980.0,446.0,591.0,458.0,173.0,478.0,69.0,595.0,430.0,743.0,1.0
68,214.0,171.0,0.0,0.0,0.0,110.0,558.0,102.0,660.0,843.0,380.0,507.0,378.0,223.0,436.0,60.0,511.0,672.0,1133.0,4.0
69,224.0,47.0,0.0,0.0,0.0,13.0,167.0,16.0,97.0,192.0,50.0,127.0,48.0,300.0,246.0,177.0,125.0,1651.0,876.0,6.0
70,87.0,78.0,0.0,0.0,0.0,50.0,140.0,121.0,926.0,470.0,193.0,247.0,139.0,357.0,255.0,111.0,249.0,1109.0,1413.0,0.0
71,90.0,109.0,0.0,0.0,0.0,83.0,408.0,26.0,303.0,351.0,100.0,225.0,109.0,223.0,328.0,169.0,227.0,1552.0,448.0,2.0
72,56.0,31.0,0.0,0.0,0.0,104.0,383.0,64.0,263.0,638.0,270.0,375.0,263.0,249.0,366.0,105.0,380.0,868.0,1050.0,1.0
73,210.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,375.0,95.0,258.0,0.0,0.0,1624.0,6.0
74,36.0,109.0,0.0,0.0,0.0,56.0,126.0,67.0,149.0,51.0,2.0,40.0,10.0,329.0,162.0,236.0,39.0,1886.0,305.0,2.0
75,53.0,129.0,0.0,1.0,0.0,43.0,178.0,84.0,423.0,192.0,34.0,126.0,63.0,252.0,243.0,228.0,124.0,1738.0,44.0,2.0
76,193.0,61.0,0.0,0.0,0.0,72.0,152.0,69.0,453.0,1023.0,484.0,625.0,496.0,28.0,614.0,14.0,629.0,829.0,460.0,5.0
77,85.0,77.0,0.0,1.0,0.0,99.0,652.0,83.0,873.0,443.0,191.0,230.0,128.0,382.0,230.0,110.0,232.0,1120.0,1468.0,0.0
78,70.0,169.0,0.0,1.0,0.0,79.0,235.0,107.0,633.0,470.0,163.0,189.0,231.0,267.0,75.0,326.0,239.0,844.0,1857.0,3.0
79,126.0,109.0,0.0,1.0,0.0,90.0,377.0,112.0,923.0,501.0,197.0,265.0,153.0,333.0,272.0,117.0,267.0,1058.0,1334.0,0.0
80,139.0,113.0,0.0,0.0,0.0,72.0,181.0,68.0,425.0,63.0,2.0,55.0,11.0,313.0,189.0,223.0,54.0,1892.0,378.0,2.0
81,47.0,70.0,0.0,0.0,0.0,31.0,77.0,55.0,135.0,1104.0,569.0,676.0,551.0,180.0,513.0,25.0,680.0,153.0,1036.0,5.0
82,13.0,127.0,0.0,0.0,0.0,24.0,36.0,18.0,17.0,115.0,61.0,49.0,24.0,419.0,107.0,196.0,60.0,1626.0,1614.0,0.0
83,96.0,119.0,0.0,0.0,0.0,43.0,214.0,67.0,251.0,138.0,66.0,62.0,30.0,410.0,122.0,190.0,68.0,1568.0,1559.0,0.0
84,109.0,171.0,0.0,0.0,0.0,105.0,631.0,99.0,561.0,740.0,337.0,431.0,327.0,275.0,356.0,89.0,435.0,493.0,1264.0,4.0
85,244.0,224.0,0.0,1.0,0.0,90.0,769.0,95.0,747.0,206.0,57.0,59.0,112.0,305.0,35.0,328.0,123.0,1614.0,1711.0,3.0
86,81.0,127.0,0.0,0.0,0.0,62.0,220.0,54.0,110.0,38.0,0.0,34.0,4.0,337.0,158.0,232.0,34.0,1898.0,547.0,2.0
87,131.0,73.0,0.0,0.0,0.0,119.0,499.0,54.0,146.0,205.0,66.0,106.0,64.0,333.0,171.0,222.0,105.0,1004.0,653.0,1.0
88,234.0,185.0,0.0,0.0,0.0,90.0,528.0,93.0,454.0,748.0,330.0,444.0,337.0,227.0,392.0,101.0,448.0,548.0,854.0,4.0
89,146.0,76.0,0.0,0.0,0.0,177.0,969.0,79.0,589.0,702.0,305.0,423.0,303.0,228.0,399.0,93.0,427.0,807.0,948.0,1.0
90,3.0,199.0,0.0,0.0,0.0,151.0,898.0,155.0,707.0,791.0,347.0,474.0,349.0,226.0,422.0,72.0,478.0,759.0,1103.0,4.0
91,97.0,30.0,0.0,0.0,0.0,92.0,337.0,68.0,359.0,1255.0,664.0,770.0,678.0,200.0,359.0,161.0,774.0,32.0,373.0,5.0
92,221.0,103.0,0.0,0.0,0.0,10.0,14.0,15.0,15.0,127.0,55.0,66.0,26.0,390.0,145.0,189.0,65.0,1624.0,1496.0,0.0
93,121.0,112.0,0.0,0.0,0.0,31.0,136.0,18.0,53.0,32.0,0.0,30.0,2.0,343.0,152.0,232.0,30.0,1898.0,631.0,2.0
94,128.0,146.0,0.0,0.0,0.0,106.0,862.0,93.0,596.0,491.0,162.0,278.0,160.0,242.0,326.0,152.0,280.0,1260.0,557.0,1.0
95,139.0,150.0,0.0,0.0,0.0,10.0,115.0,43.0,225.0,329.0,111.0,129.0,171.0,286.0,61.0,321.0,179.0,1042.0,1806.0,3.0
96,174.0,177.0,0.0,0.0,0.0,119.0,776.0,95.0,497.0,866.0,388.0,519.0,393.0,210.0,444.0,65.0,523.0,564.0,1000.0,4.0
97,191.0,131.0,0.0,1.0,0.0,24.0,36.0,77.0,178.0,109.0,61.0,44.0,21.0,426.0,100.0,195.0,60.0,1695.0,1621.0,0.0
98,100.0,61.0,0.0,0.0,0.0,108.0,932.0,84.0,1010.0,537.0,209.0,300.0,168.0,296.0,338.0,86.0,304.0,1289.0,1299.0,0.0
99,210.0,96.0,0.0,1.0,0.0,110.0,728.0,90.0,804.0,348.0,105.0,225.0,101.0,241.0,331.0,148.0,227.0,1522.0,583.0,6.0
100,139.0,114.0,0.0,0.0,0.0,10.0,15.0,32.0,85.0,147.0,66.0,69.0,32.0,401.0,134.0,187.0,69.0,1516.0,1524.0,0.0
101,220.0,96.0,0.0,0.0,0.0,78.0,68.0,48.0,100.0,58.0,3.0,48.0,9.0,324.0,177.0,225.0,47.0,1877.0,457.0,2.0
102,167.0,2.0,0.0,1.0,0.0,82.0,181.0,73.0,121.0,1228.0,638.0,757.0,650.0,99.0,488.0,142.0,761.0,95.0,170.0,5.0
103,199.0,236.0,0.0,0.0,0.0,103.0,546.0,75.0,419.0,211.0,59.0,66.0,111.0,303.0,48.0,317.0,122.0,1554.0,1732.0,3.0
104,22.0,74.0,0.0,0.0,0.0,84.0,455.0,84.0,403.0,373.0,168.0,192.0,105.0,395.0,198.0,127.0,192.0,1086.0,1487.0,0.0
105,64.0,132.0,0.0,0.0,0.0,12.0,38.0,16.0,15.0,117.0,59.0,53.0,24.0,411.0,117.0,194.0,59.0,1609.0,1578.0,0.0
106,107.0,117.0,0.0,0.0,0.0,180.0,913.0,82.0,426.0,833.0,366.0,506.0,375.0,188.0,458.0,73.0,510.0,748.0,797.0,1.0
107,16.0,53.0,0.0,0.0,0.0,84.0,534.0,82.0,529.0,390.0,157.0,219.0,113.0,339.0,257.0,126.0,221.0,1309.0,1339.0,0.0
108,186.0,123.0,0.0,1.0,0.0,119.0,685.0,68.0,110.0,540.0,181.0,311.0,188.0,203.0,377.0,140.0,315.0,1366.0,479.0,6.0
109,196.0,110.0,0.0,0.0,0.0,223.0,1037.0,57.0,374.0,671.0,302.0,387.0,294.0,278.0,314.0,128.0,392.0,445.0,1159.0,1.0
110,187.0,31.0,0.0,0.0,0.0,52.0,226.0,82.0,488.0,1071.0,526.0,656.0,555.0,45.0,546.0,149.0,660.0,262.0,74.0,5.0
111,98.0,119.0,0.0,0.0,0.0,27.0,184.0,21.0,183.0,37.0,1.0,30.0,6.0,341.0,147.0,239.0,30.0,1893.0,429.0,2.0
112,94.0,60.0,0.0,0.0,0.0,73.0,462.0,93.0,904.0,1052.0,532.0,640.0,524.0,139.0,533.0,50.0,644.0,208.0,626.0,5.0
113,152.0,181.0,0.0,0.0,0.0,127.0,629.0,180.0,931.0,835.0,371.0,495.0,388.0,210.0,399.0,111.0,499.0,402.0,566.0,4.0
114,117.0,156.0,0.0,1.0,0.0,62.0,220.0,90.0,410.0,302.0,115.0,124.0,141.0,329.0,77.0,274.0,150.0,282.0,1786.0,3.0
115,68.0,64.0,0.0,1.0,0.0,100.0,544.0,77.0,710.0,481.0,196.0,255.0,139.0,355.0,267.0,100.0,257.0,1229.0,1402.0,0.0
116,97.0,108.0,0.0,2.0,0.0,84.0,221.0,99.0,984.0,454.0,190.0,238.0,132.0,368.0,245.0,110.0,240.0,1133.0,1437.0,0.0
117,58.0,105.0,0.0,0.0,0.0,119.0,802.0,43.0,146.0,463.0,160.0,257.0,153.0,265.0,293.0,163.0,259.0,1064.0,620.0,6.0
118,13.0,17.0,0.0,0.0,0.0,26.0,21.0,70.0,133.0,1085.0,539.0,690.0,541.0,60.0,592.0,43.0,694.0,307.0,430.0,5.0
119,227.0,31.0,0.0,1.0,0.0,99.0,578.0,132.0,711.0,714.0,315.0,418.0,326.0,240.0,345.0,135.0,422.0,397.0,707.0,1.0
120,115.0,24.0,0.0,0.0,0.0,56.0,343.0,53.0,185.0,1180.0,606.0,736.0,625.0,83.0,518.0,130.0,740.0,160.0,190.0,5.0
121,44.0,97.0,0.0,0.0,1.0,230.0,1018.0,255.0,1072.0,793.0,330.0,465.0,376.0,160.0,392.0,170.0,469.0,955.0,155.0,2.0
122,126.0,107.0,0.0,0.0,0.0,204.0,1006.0,49.0,258.0,616.0,258.0,339.0,256.0,279.0,287.0,156.0,344.0,543.0,845.0,1.0
123,151.0,208.0,0.0,0.0,0.0,67.0,291.0,75.0,701.0,303.0,103.0,118.0,160.0,292.0,58.0,318.0,168.0,1177.0,1788.0,3.0
124,27.0,120.0,0.0,0.0,0.0,7.0,19.0,43.0,48.0,120.0,60.0,54.0,26.0,410.0,116.0,196.0,59.0,1562.0,1587.0,0.0
125,180.0,4.0,0.0,0.0,0.0,59.0,68.0,75.0,476.0,1264.0,674.0,777.0,686.0,202.0,337.0,181.0,781.0,22.0,230.0,5.0
126,200.0,114.0,0.0,1.0,0.0,91.0,529.0,191.0,993.0,703.0,329.0,384.0,321.0,329.0,242.0,152.0,389.0,149.0,1304.0,1.0
127,200.0,114.0,0.0,0.0,0.0,72.0,180.0,206.0,1149.0,696.0,312.0,404.0,306.0,275.0,329.0,116.0,408.0,390.0,1212.0,1.0
128,58.0,109.0,0.0,0.0,0.0,101.0,671.0,75.0,635.0,395.0,94.0,283.0,109.0,149.0,463.0,109.0,285.0,1710.0,447.0,2.0
129,20.0,53.0,0.0,0.0,0.0,214.0,1019.0,247.0,1078.0,587.0,218.0,315.0,254.0,204.0,278.0,240.0,320.0,1091.0,5.0,2.0
130,195.0,84.0,0.0,0.0,0.0,91.0,472.0,73.0,488.0,179.0,61.0,97.0,48.0,352.0,178.0,196.0,96.0,1456.0,1343.0,6.0
131,62.0,8.0,0.0,0.0,0.0,106.0,488.0,75.0,367.0,725.0,306.0,446.0,316.0,182.0,451.0,85.0,450.0,949.0,659.0,1.0
132,44.0,97.0,0.0,0.0,1.0,230.0,1018.0,255.0,1072.0,793.0,330.0,465.0,376.0,160.0,392.0,170.0,469.0,955.0,155.0,2.0
133,122.0,172.0,0.0,0.0,0.0,75.0,280.0,165.0,1104.0,601.0,249.0,323.0,240.0,299.0,274.0,149.0,328.0,368.0,1217.0,4.0
134,94.0,98.0,0.0,0.0,0.0,72.0,203.0,87.0,787.0,360.0,171.0,177.0,100.0,423.0,167.0,131.0,179.0,1016.0,1523.0,0.0
135,186.0,78.0,0.0,0.0,0.0,119.0,590.0,68.0,431.0,194.0,57.0,117.0,53.0,318.0,215.0,192.0,116.0,1527.0,983.0,6.0
136,114.0,100.0,0.0,0.0,0.0,28.0,157.0,87.0,422.0,375.0,86.0,262.0,116.0,153.0,413.0,158.0,264.0,1707.0,226.0,2.0
137,107.0,112.0,0.0,0.0,0.0,31.0,75.0,32.0,65.0,160.0,74.0,72.0,36.0,410.0,128.0,184.0,75.0,1472.0,1550.0,0.0
138,205.0,50.0,0.0,0.0,0.0,27.0,157.0,18.0,148.0,168.0,42.0,110.0,39.0,310.0,229.0,184.0,109.0,1677.0,954.0,6.0
139,33.0,158.0,0.0,0.0,0.0,56.0,212.0,80.0,365.0,265.0,95.0,88.0,149.0,317.0,18.0,334.0,158.0,1384.0,1671.0,3.0
140,3.0,85.0,0.0,0.0,0.0,102.0,816.0,79.0,715.0,86.0,8.0,70.0,18.0,303.0,206.0,216.0,69.0,1851.0,419.0,2.0
141,28.0,70.0,0.0,1.0,0.0,111.0,878.0,102.0,903.0,428.0,179.0,228.0,124.0,365.0,242.0,116.0,230.0,1157.0,1444.0,0.0
142,128.0,173.0,0.0,1.0,0.0,102.0,400.0,120.0,621.0,726.0,330.0,420.0,321.0,282.0,336.0,102.0,424.0,419.0,1263.0,4.0
143,87.0,125.0,0.0,0.0,0.0,94.0,482.0,90.0,689.0,186.0,37.0,119.0,59.0,270.0,231.0,222.0,118.0,1715.0,72.0,2.0
144,20.0,112.0,0.0,0.0,0.0,61.0,141.0,65.0,102.0,400.0,140.0,230.0,130.0,277.0,279.0,166.0,232.0,1136.0,720.0,1.0
145,72.0,8.0,0.0,0.0,0.0,67.0,148.0,56.0,249.0,1216.0,625.0,749.0,643.0,93.0,503.0,133.0,753.0,128.0,196.0,5.0
146,69.0,27.0,0.0,0.0,0.0,79.0,92.0,65.0,300.0,897.0,391.0,556.0,401.0,161.0,523.0,35.0,560.0,879.0,840.0,1.0
147,134.0,200.0,0.0,0.0,0.0,95.0,527.0,92.0,455.0,373.0,129.0,146.0,195.0,280.0,55.0,333.0,203.0,989.0,1798.0,3.0
148,150.0,152.0,0.0,0.0,0.0,99.0,733.0,241.0,1110.0,658.0,279.0,376.0,305.0,228.0,303.0,189.0,381.0,347.0,21.0,4.0
149,160.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,375.0,95.0,258.0,0.0,0.0,1624.0,6.0
150,222.0,164.0,0.0,0.0,0.0,134.0,834.0,177.0,956.0,895.0,398.0,547.0,404.0,184.0,485.0,48.0,551.0,746.0,917.0,4.0
151,251.0,64.0,0.0,0.0,0.0,39.0,87.0,53.0,111.0,1008.0,471.0,621.0,481.0,0.0,635.0,2.0,625.0,999.0,444.0,5.0
152,92.0,179.0,0.0,0.0,0.0,163.0,640.0,100.0,862.0,837.0,371.0,504.0,376.0,206.0,443.0,70.0,508.0,668.0,940.0,4.0
153,229.0,102.0,0.0,0.0,0.0,75.0,210.0,22.0,183.0,454.0,161.0,242.0,156.0,281.0,259.0,182.0,244.0,931.0,568.0,6.0
154,138.0,117.0,0.0,0.0,0.0,117.0,985.0,111.0,1065.0,123.0,22.0,86.0,35.0,298.0,207.0,220.0,85.0,1779.0,303.0,2.0
155,204.0,183.0,0.0,0.0,0.0,89.0,492.0,149.0,831.0,675.0,300.0,395.0,295.0,262.0,334.0,124.0,400.0,444.0,1012.0,4.0
156,56.0,216.0,0.0,0.0,0.0,113.0,687.0,116.0,525.0,303.0,107.0,122.0,152.0,304.0,70.0,295.0,161.0,916.0,1809.0,3.0
157,94.0,46.0,0.0,0.0,0.0,94.0,854.0,91.0,596.0,534.0,218.0,292.0,165.0,331.0,307.0,82.0,295.0,1241.0,1349.0,0.0
158,155.0,177.0,0.0,0.0,0.0,143.0,738.0,144.0,902.0,949.0,434.0,566.0,428.0,209.0,473.0,37.0,570.0,626.0,1149.0,4.0
159,61.0,189.0,0.0,0.0,0.0,103.0,706.0,123.0,611.0,946.0,426.0,572.0,425.0,188.0,498.0,31.0,576.0,743.0,1058.0,4.0
160,229.0,106.0,0.0,0.0,0.0,125.0,408.0,75.0,353.0,649.0,273.0,390.0,278.0,227.0,377.0,116.0,395.0,872.0,749.0,1.0
161,198.0,109.0,0.0,0.0,0.0,129.0,902.0,188.0,1120.0,652.0,285.0,375.0,285.0,270.0,315.0,135.0,380.0,403.0,966.0,1.0
162,201.0,197.0,0.0,0.0,0.0,91.0,541.0,85.0,833.0,399.0,139.0,157.0,207.0,275.0,56.0,337.0,216.0,975.0,1836.0,3.0
163,22.0,161.0,0.0,0.0,0.0,82.0,396.0,198.0,999.0,691.0,306.0,399.0,308.0,258.0,327.0,135.0,404.0,357.0,682.0,4.0
