,myct,mmin,mmax,cach,chmin,chmax,class
122,59.0,10.0,3.0,0.0,0.0,0.0,5.0
123,59.0,10.0,5.0,0.0,0.0,0.0,10.0
124,55.0,10.0,5.0,0.0,0.0,0.0,12.0
125,10.0,14.0,9.0,0.0,3.0,6.0,19.0
126,10.0,14.0,15.0,5.0,3.0,6.0,35.0
127,10.0,14.0,15.0,5.0,1.0,6.0,43.0
128,10.0,14.0,18.0,9.0,1.0,6.0,54.0
129,10.0,14.0,18.0,9.0,1.0,6.0,61.0
130,10.0,22.0,18.0,12.0,1.0,9.0,79.0
131,24.0,11.0,15.0,0.0,2.0,6.0,8.0
132,24.0,11.0,15.0,9.0,2.0,6.0,18.0
133,24.0,11.0,15.0,9.0,3.0,6.0,24.0
134,10.0,14.0,18.0,7.0,3.0,14.0,35.0
135,10.0,14.0,18.0,9.0,6.0,14.0,42.0
136,10.0,14.0,18.0,9.0,6.0,14.0,50.0
137,35.0,8.0,9.0,0.0,8.0,29.0,22.0
138,28.0,14.0,15.0,8.0,1.0,3.0,38.0
139,28.0,14.0,9.0,2.0,1.0,5.0,31.0
140,22.0,14.0,15.0,11.0,1.0,6.0,47.0
141,22.0,14.0,15.0,11.0,1.0,6.0,45.0
142,22.0,14.0,15.0,3.0,1.0,6.0,38.0
143,19.0,19.0,18.0,8.0,1.0,6.0,51.0
144,15.0,19.0,18.0,11.0,1.0,6.0,63.0
145,15.0,14.0,18.0,13.0,5.0,8.0,57.0
146,15.0,19.0,18.0,13.0,5.0,8.0,65.0
147,10.0,19.0,18.0,13.0,5.0,9.0,70.0
148,18.0,19.0,18.0,13.0,8.0,14.0,83.0
149,18.0,14.0,15.0,8.0,6.0,8.0,67.0
150,8.0,22.0,18.0,11.0,8.0,14.0,93.0
151,8.0,22.0,21.0,13.0,8.0,17.0,100.0
152,6.0,22.0,21.0,13.0,8.0,17.0,106.0
153,7.0,23.0,21.0,17.0,10.0,21.0,111.0
154,9.0,19.0,20.0,11.0,8.0,17.0,93.0
155,7.0,22.0,21.0,13.0,8.0,17.0,103.0
156,5.0,23.0,21.0,21.0,10.0,17.0,111.0
157,27.0,11.0,3.0,0.0,1.0,4.0,2.0
158,20.0,11.0,5.0,0.0,1.0,6.0,5.0
159,12.0,11.0,9.0,0.0,1.0,6.0,9.0
160,12.0,14.0,12.0,0.0,1.0,8.0,13.0
161,12.0,14.0,15.0,0.0,1.0,8.0,16.0
162,12.0,19.0,15.0,0.0,1.0,8.0,26.0
163,12.0,19.0,17.0,0.0,1.0,8.0,33.0
164,12.0,19.0,18.0,0.0,1.0,8.0,36.0
165,7.0,19.0,15.0,11.0,10.0,21.0,39.0
166,7.0,19.0,15.0,11.0,10.0,21.0,73.0
167,7.0,22.0,18.0,13.0,4.0,8.0,66.0
168,7.0,22.0,20.0,20.0,4.0,8.0,81.0
169,7.0,19.0,18.0,17.0,10.0,21.0,92.0
170,41.0,11.0,5.0,0.0,1.0,2.0,17.0
171,41.0,11.0,9.0,0.0,1.0,4.0,22.0
172,41.0,14.0,15.0,13.0,1.0,5.0,32.0
173,46.0,8.0,9.0,0.0,1.0,7.0,17.0
174,46.0,8.0,9.0,0.0,4.0,7.0,38.0
175,46.0,11.0,18.0,1.0,1.0,8.0,38.0
176,36.0,8.0,9.0,2.0,1.0,5.0,22.0
177,36.0,8.0,5.0,2.0,3.0,8.0,24.0
178,36.0,11.0,9.0,5.0,1.0,12.0,30.0
179,36.0,11.0,15.0,8.0,1.0,12.0,45.0
180,36.0,14.0,15.0,11.0,1.0,11.0,69.0
181,45.0,8.0,3.0,5.0,1.0,3.0,0.0
182,45.0,8.0,5.0,5.0,1.0,5.0,4.0
183,25.0,14.0,9.0,5.0,3.0,8.0,14.0
184,25.0,14.0,12.0,8.0,6.0,14.0,25.0
185,25.0,14.0,15.0,8.0,4.0,12.0,44.0
186,11.0,19.0,18.0,11.0,4.0,10.0,75.0
187,17.0,19.0,17.0,5.0,6.0,8.0,58.0
188,14.0,19.0,17.0,11.0,6.0,10.0,71.0
189,14.0,22.0,18.0,13.0,9.0,17.0,88.0
190,3.0,22.0,20.0,11.0,8.0,14.0,86.0
191,3.0,22.0,21.0,13.0,9.0,14.0,96.0
192,3.0,22.0,21.0,17.0,11.0,21.0,108.0
193,29.0,14.0,15.0,11.0,5.0,19.0,54.0
194,10.0,14.0,21.0,9.0,6.0,18.0,72.0
195,10.0,14.0,21.0,12.0,12.0,24.0,91.0
196,10.0,14.0,21.0,16.0,14.0,27.0,101.0
197,10.0,19.0,21.0,16.0,14.0,27.0,107.0
198,5.0,22.0,22.0,15.0,9.0,30.0,113.0
199,5.0,22.0,22.0,17.0,9.0,30.0,115.0
200,39.0,5.0,9.0,0.0,1.0,3.0,5.0
201,39.0,8.0,9.0,0.0,1.0,3.0,7.0
202,39.0,5.0,9.0,0.0,1.0,3.0,10.0
203,39.0,8.0,9.0,0.0,1.0,3.0,13.0
204,30.0,11.0,15.0,0.0,1.0,8.0,33.0
205,23.0,11.0,15.0,11.0,2.0,8.0,36.0
206,31.0,14.0,15.0,0.0,2.0,12.0,40.0
207,52.0,8.0,15.0,11.0,0.0,0.0,52.0
208,52.0,11.0,9.0,0.0,0.0,0.0,35.0
