,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,class
59,b'A11',36.0,b'A34',b'A42',6229.0,b'A61',b'A72',4.0,b'A92',b'A102',4.0,b'A124',23.0,b'A143',b'A151',2.0,b'A172',1.0,b'A192',b'A201',2
60,b'A12',9.0,b'A32',b'A49',1391.0,b'A61',b'A73',2.0,b'A94',b'A101',1.0,b'A121',27.0,b'A141',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
61,b'A12',15.0,b'A34',b'A43',1537.0,b'A65',b'A75',4.0,b'A93',b'A103',4.0,b'A121',50.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
62,b'A12',36.0,b'A30',b'A49',1953.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A124',61.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',2
63,b'A12',48.0,b'A30',b'A49',14421.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A123',25.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',2
64,b'A14',24.0,b'A32',b'A43',3181.0,b'A61',b'A72',4.0,b'A92',b'A101',4.0,b'A122',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
65,b'A14',27.0,b'A32',b'A45',5190.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A122',48.0,b'A143',b'A152',4.0,b'A173',2.0,b'A192',b'A201',1
66,b'A14',12.0,b'A32',b'A43',2171.0,b'A61',b'A72',2.0,b'A92',b'A101',2.0,b'A123',29.0,b'A141',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
67,b'A12',12.0,b'A32',b'A40',1007.0,b'A64',b'A73',4.0,b'A94',b'A101',1.0,b'A121',22.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
68,b'A14',36.0,b'A32',b'A46',1819.0,b'A61',b'A73',4.0,b'A93',b'A101',4.0,b'A124',37.0,b'A142',b'A153',1.0,b'A173',1.0,b'A192',b'A201',2
69,b'A14',36.0,b'A32',b'A43',2394.0,b'A65',b'A73',4.0,b'A92',b'A101',4.0,b'A123',25.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
70,b'A14',36.0,b'A32',b'A41',8133.0,b'A61',b'A73',1.0,b'A92',b'A101',2.0,b'A122',30.0,b'A141',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
71,b'A14',7.0,b'A34',b'A43',730.0,b'A65',b'A75',4.0,b'A93',b'A101',2.0,b'A122',46.0,b'A143',b'A151',2.0,b'A172',1.0,b'A192',b'A201',1
72,b'A11',8.0,b'A34',b'A41',1164.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A124',51.0,b'A141',b'A153',2.0,b'A174',2.0,b'A192',b'A201',1
73,b'A12',42.0,b'A34',b'A49',5954.0,b'A61',b'A74',2.0,b'A92',b'A101',1.0,b'A121',41.0,b'A141',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
74,b'A11',36.0,b'A32',b'A46',1977.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A124',40.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',2
75,b'A11',12.0,b'A34',b'A41',1526.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A124',66.0,b'A143',b'A153',2.0,b'A174',1.0,b'A191',b'A201',1
76,b'A11',42.0,b'A32',b'A43',3965.0,b'A61',b'A72',4.0,b'A93',b'A101',3.0,b'A123',34.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
77,b'A12',11.0,b'A33',b'A43',4771.0,b'A61',b'A74',2.0,b'A93',b'A101',4.0,b'A122',51.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
78,b'A14',54.0,b'A30',b'A41',9436.0,b'A65',b'A73',2.0,b'A93',b'A101',2.0,b'A122',39.0,b'A143',b'A152',1.0,b'A172',2.0,b'A191',b'A201',1
79,b'A12',30.0,b'A32',b'A42',3832.0,b'A61',b'A72',2.0,b'A94',b'A101',1.0,b'A122',22.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
80,b'A14',24.0,b'A32',b'A43',5943.0,b'A65',b'A72',1.0,b'A92',b'A101',1.0,b'A123',44.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
81,b'A14',15.0,b'A32',b'A43',1213.0,b'A63',b'A75',4.0,b'A93',b'A101',3.0,b'A122',47.0,b'A142',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
82,b'A14',18.0,b'A32',b'A49',1568.0,b'A62',b'A73',3.0,b'A92',b'A101',4.0,b'A122',24.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
83,b'A11',24.0,b'A32',b'A41',1755.0,b'A61',b'A75',4.0,b'A92',b'A103',4.0,b'A121',58.0,b'A143',b'A152',1.0,b'A172',1.0,b'A192',b'A201',1
84,b'A11',10.0,b'A32',b'A43',2315.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A121',52.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
85,b'A14',12.0,b'A34',b'A49',1412.0,b'A61',b'A73',4.0,b'A92',b'A103',2.0,b'A121',29.0,b'A143',b'A152',2.0,b'A174',1.0,b'A192',b'A201',1
86,b'A12',18.0,b'A34',b'A42',1295.0,b'A61',b'A72',4.0,b'A92',b'A101',1.0,b'A122',27.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
87,b'A12',36.0,b'A32',b'A46',12612.0,b'A62',b'A73',1.0,b'A93',b'A101',4.0,b'A124',47.0,b'A143',b'A153',1.0,b'A173',2.0,b'A192',b'A201',2
88,b'A11',18.0,b'A32',b'A40',2249.0,b'A62',b'A74',4.0,b'A93',b'A101',3.0,b'A123',30.0,b'A143',b'A152',1.0,b'A174',2.0,b'A192',b'A201',1
89,b'A11',12.0,b'A30',b'A45',1108.0,b'A61',b'A74',4.0,b'A93',b'A101',3.0,b'A121',28.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',2
90,b'A14',12.0,b'A34',b'A43',618.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A121',56.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
91,b'A11',12.0,b'A34',b'A41',1409.0,b'A61',b'A75',4.0,b'A93',b'A101',3.0,b'A121',54.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
92,b'A14',12.0,b'A34',b'A43',797.0,b'A65',b'A75',4.0,b'A92',b'A101',3.0,b'A122',33.0,b'A141',b'A152',1.0,b'A172',2.0,b'A191',b'A201',2
93,b'A13',24.0,b'A34',b'A42',3617.0,b'A65',b'A75',4.0,b'A93',b'A102',4.0,b'A124',20.0,b'A143',b'A151',2.0,b'A173',1.0,b'A191',b'A201',1
94,b'A12',12.0,b'A32',b'A40',1318.0,b'A64',b'A75',4.0,b'A93',b'A101',4.0,b'A121',54.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
95,b'A12',54.0,b'A30',b'A49',15945.0,b'A61',b'A72',3.0,b'A93',b'A101',4.0,b'A124',58.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',2
96,b'A14',12.0,b'A34',b'A46',2012.0,b'A65',b'A74',4.0,b'A92',b'A101',2.0,b'A123',61.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
97,b'A12',18.0,b'A32',b'A49',2622.0,b'A62',b'A73',4.0,b'A93',b'A101',4.0,b'A123',34.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
98,b'A12',36.0,b'A34',b'A43',2337.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A121',36.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
99,b'A12',20.0,b'A33',b'A41',7057.0,b'A65',b'A74',3.0,b'A93',b'A101',4.0,b'A122',36.0,b'A141',b'A151',2.0,b'A174',2.0,b'A192',b'A201',1
100,b'A14',24.0,b'A32',b'A40',1469.0,b'A62',b'A75',4.0,b'A94',b'A101',4.0,b'A121',41.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
101,b'A12',36.0,b'A32',b'A43',2323.0,b'A61',b'A74',4.0,b'A93',b'A101',4.0,b'A123',24.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
102,b'A14',6.0,b'A33',b'A43',932.0,b'A61',b'A73',3.0,b'A92',b'A101',2.0,b'A121',24.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
103,b'A12',9.0,b'A34',b'A42',1919.0,b'A61',b'A74',4.0,b'A93',b'A101',3.0,b'A123',35.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
104,b'A14',12.0,b'A32',b'A41',2445.0,b'A65',b'A72',2.0,b'A94',b'A101',4.0,b'A123',26.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
105,b'A12',24.0,b'A34',b'A41',11938.0,b'A61',b'A73',2.0,b'A93',b'A102',3.0,b'A123',39.0,b'A143',b'A152',2.0,b'A174',2.0,b'A192',b'A201',2
106,b'A14',18.0,b'A31',b'A40',6458.0,b'A61',b'A75',2.0,b'A93',b'A101',4.0,b'A124',39.0,b'A141',b'A152',2.0,b'A174',2.0,b'A192',b'A201',2
107,b'A12',12.0,b'A32',b'A40',6078.0,b'A61',b'A74',2.0,b'A93',b'A101',2.0,b'A123',32.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
108,b'A11',24.0,b'A32',b'A42',7721.0,b'A65',b'A72',1.0,b'A92',b'A101',2.0,b'A122',30.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A202',1
109,b'A12',14.0,b'A32',b'A49',1410.0,b'A63',b'A75',1.0,b'A94',b'A101',2.0,b'A121',35.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
110,b'A12',6.0,b'A33',b'A49',1449.0,b'A62',b'A75',1.0,b'A91',b'A101',2.0,b'A123',31.0,b'A141',b'A152',2.0,b'A173',2.0,b'A191',b'A201',1
111,b'A13',15.0,b'A32',b'A46',392.0,b'A61',b'A72',4.0,b'A92',b'A101',4.0,b'A122',23.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
112,b'A12',18.0,b'A32',b'A40',6260.0,b'A61',b'A74',3.0,b'A93',b'A101',3.0,b'A121',28.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
113,b'A14',36.0,b'A34',b'A40',7855.0,b'A61',b'A73',4.0,b'A92',b'A101',2.0,b'A121',25.0,b'A142',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
114,b'A11',12.0,b'A32',b'A43',1680.0,b'A63',b'A75',3.0,b'A94',b'A101',1.0,b'A121',35.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
115,b'A14',48.0,b'A34',b'A43',3578.0,b'A65',b'A75',4.0,b'A93',b'A101',1.0,b'A121',47.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
116,b'A11',42.0,b'A32',b'A43',7174.0,b'A65',b'A74',4.0,b'A92',b'A101',3.0,b'A123',30.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',2
117,b'A11',10.0,b'A34',b'A42',2132.0,b'A65',b'A72',2.0,b'A92',b'A102',3.0,b'A121',27.0,b'A143',b'A151',2.0,b'A173',1.0,b'A191',b'A202',1
118,b'A11',33.0,b'A34',b'A42',4281.0,b'A63',b'A73',1.0,b'A92',b'A101',4.0,b'A123',23.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',2
119,b'A12',12.0,b'A34',b'A40',2366.0,b'A63',b'A74',3.0,b'A91',b'A101',3.0,b'A123',36.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',1
120,b'A11',21.0,b'A32',b'A43',1835.0,b'A61',b'A73',3.0,b'A92',b'A101',2.0,b'A121',25.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
121,b'A14',24.0,b'A34',b'A41',3868.0,b'A61',b'A75',4.0,b'A92',b'A101',2.0,b'A123',41.0,b'A143',b'A151',2.0,b'A174',1.0,b'A192',b'A201',1
122,b'A14',12.0,b'A32',b'A42',1768.0,b'A61',b'A73',3.0,b'A93',b'A101',2.0,b'A121',24.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
123,b'A13',10.0,b'A34',b'A40',781.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A124',63.0,b'A143',b'A153',2.0,b'A173',1.0,b'A192',b'A201',1
124,b'A12',18.0,b'A32',b'A42',1924.0,b'A65',b'A72',4.0,b'A92',b'A101',3.0,b'A121',27.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
125,b'A11',12.0,b'A34',b'A40',2121.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A122',30.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
126,b'A11',12.0,b'A32',b'A43',701.0,b'A61',b'A73',4.0,b'A94',b'A101',2.0,b'A121',40.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
127,b'A12',12.0,b'A32',b'A45',639.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A123',30.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
128,b'A12',12.0,b'A34',b'A41',1860.0,b'A61',b'A71',4.0,b'A93',b'A101',2.0,b'A123',34.0,b'A143',b'A152',2.0,b'A174',1.0,b'A192',b'A201',1
129,b'A11',12.0,b'A34',b'A40',3499.0,b'A61',b'A73',3.0,b'A92',b'A102',2.0,b'A121',29.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',2
130,b'A12',48.0,b'A32',b'A40',8487.0,b'A65',b'A74',1.0,b'A92',b'A101',2.0,b'A123',24.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
131,b'A11',36.0,b'A33',b'A46',6887.0,b'A61',b'A73',4.0,b'A93',b'A101',3.0,b'A122',29.0,b'A142',b'A152',1.0,b'A173',1.0,b'A192',b'A201',2
132,b'A14',15.0,b'A32',b'A42',2708.0,b'A61',b'A72',2.0,b'A93',b'A101',3.0,b'A122',27.0,b'A141',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
133,b'A14',18.0,b'A32',b'A42',1984.0,b'A61',b'A73',4.0,b'A93',b'A101',4.0,b'A124',47.0,b'A141',b'A153',2.0,b'A173',1.0,b'A191',b'A201',1
134,b'A14',60.0,b'A32',b'A43',10144.0,b'A62',b'A74',2.0,b'A92',b'A101',4.0,b'A121',21.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
135,b'A14',12.0,b'A34',b'A43',1240.0,b'A65',b'A75',4.0,b'A92',b'A101',2.0,b'A121',38.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
136,b'A14',27.0,b'A33',b'A41',8613.0,b'A64',b'A73',2.0,b'A93',b'A101',2.0,b'A123',27.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
137,b'A12',12.0,b'A32',b'A43',766.0,b'A63',b'A73',4.0,b'A93',b'A101',3.0,b'A121',66.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',2
138,b'A12',15.0,b'A34',b'A43',2728.0,b'A65',b'A74',4.0,b'A93',b'A103',2.0,b'A121',35.0,b'A141',b'A152',3.0,b'A173',1.0,b'A192',b'A201',1
