,x,y,z,class
60,1.1,1.08,-0.97,1
61,0.71,0.3,-0.22,1
62,1.21,0.62,0.46,1
63,0.47,-0.09,-1.69,1
64,-1.21,-0.45,-0.38,1
65,-1.07,0.76,0.61,1
66,1.29,-0.07,-1.11,1
67,0.87,-1.74,0.31,1
68,0.92,-1.3,-1.21,1
69,0.51,-0.75,-0.91,1
70,-0.19,-0.48,1.4,1
71,0.51,-0.21,1.01,1
72,0.84,-0.84,0.5,1
73,1.8,-0.4,0.16,1
74,-0.7,0.82,-1.57,1
75,-1.26,-0.92,-0.34,1
76,0.88,1.64,-0.67,1
77,-0.32,-0.41,1.72,1
78,-0.73,1.26,0.46,1
79,-1.24,-0.38,-0.18,1
80,1.92,0.55,-0.01,1
81,-1.65,-0.47,-0.24,1
82,1.15,0.63,0.71,1
83,0.51,0.04,-1.34,1
84,0.76,0.48,-1.29,1
85,-1.75,-0.43,0.57,1
86,1.1,0.14,-0.83,1
87,0.4,0.19,1.62,1
88,-1.11,-0.12,-0.01,1
89,-0.02,0.48,-0.48,1
90,-0.28,-0.27,0.42,1
91,0.83,-0.44,-0.31,1
92,-1.22,1.0,-0.55,1
93,0.46,-0.12,-0.47,1
94,-0.21,0.32,0.52,1
95,0.5,-0.99,0.55,1
96,0.31,-0.71,-0.24,1
97,-0.15,0.35,0.01,1
98,0.05,-0.87,0.22,1
99,0.05,1.11,0.85,1
100,3.29,4.27,5.91,2
101,5.89,7.57,4.71,2
102,3.91,4.44,6.44,2
103,4.86,3.36,5.63,2
104,4.57,4.36,3.07,2
105,4.38,2.58,4.43,2
106,3.39,4.85,6.15,2
107,4.48,6.99,4.37,2
108,5.06,4.91,5.7,2
109,4.51,7.12,5.2,2
110,6.12,3.46,3.18,2
111,6.81,5.93,4.7,2
112,5.72,4.57,4.1,2
113,6.29,6.23,5.48,2
114,4.37,5.36,5.59,2
115,4.74,3.3,6.09,2
116,5.31,7.68,4.82,2
117,3.09,5.41,4.7,2
118,4.89,3.78,2.55,2
119,5.14,6.72,6.89,2
120,4.76,5.76,4.04,2
121,3.95,5.25,3.5,2
122,6.71,4.3,5.68,2
123,4.27,7.3,5.06,2
124,4.92,3.38,4.94,2
125,4.32,6.23,5.39,2
126,4.31,5.35,4.79,2
127,3.8,6.98,5.64,2
128,4.88,6.05,2.67,2
129,3.96,5.09,5.73,2
130,5.44,6.63,5.57,2
131,5.69,3.04,3.44,2
132,4.16,3.51,5.23,2
133,3.46,3.72,4.98,2
134,4.94,5.23,2.45,2
135,4.7,6.02,3.87,2
136,3.96,5.25,7.33,2
137,5.1,4.13,2.85,2
138,6.25,2.8,4.54,2
139,4.83,6.25,5.78,2
140,4.43,7.02,6.94,2
141,5.48,3.29,5.6,2
142,5.0,6.78,4.57,2
143,3.44,4.36,4.0,2
144,6.08,4.82,7.23,2
145,4.68,4.72,4.11,2
146,4.98,7.74,5.66,2
147,3.42,5.58,6.31,2
148,5.86,6.14,3.74,2
149,4.06,5.32,6.87,2
150,5.96,4.99,3.85,2
151,3.89,4.89,5.34,2
152,4.61,5.34,6.27,2
153,3.18,5.46,5.99,2
154,4.83,4.62,2.22,2
155,5.65,3.62,3.79,2
156,4.13,7.11,5.22,2
157,3.84,3.91,3.0,2
158,3.19,4.41,5.19,2
159,3.82,5.32,2.97,2
160,5.2,7.57,6.09,2
161,6.58,4.8,6.33,2
162,3.87,6.71,6.46,2
163,5.45,7.31,4.67,2
164,4.56,6.25,7.62,2
165,5.27,6.9,4.47,2
166,3.28,5.06,4.7,2
167,5.87,5.49,2.78,2
168,5.36,4.91,5.1,2
169,4.24,4.14,5.16,2
170,5.31,3.57,3.52,2
171,5.4,6.93,4.74,2
172,5.18,3.93,4.82,2
173,5.17,7.16,4.45,2
174,5.19,5.71,4.84,2
175,4.56,7.88,5.24,2
176,3.52,6.13,5.33,2
177,5.36,3.7,5.86,2
178,5.3,7.08,4.86,2
179,5.04,7.82,4.04,2
180,4.17,5.73,4.0,2
181,4.85,4.62,7.9,2
182,3.96,2.71,4.01,2
183,6.83,4.94,5.39,2
184,6.0,5.7,6.79,2
185,5.15,3.63,5.58,2
186,6.26,5.81,7.03,2
187,3.56,3.57,5.48,2
188,5.47,5.25,6.7,2
189,3.43,4.49,5.37,2
190,4.52,6.79,5.09,2
191,4.53,4.59,6.06,2
192,5.97,6.11,4.52,2
193,5.52,4.77,6.08,2
194,5.45,5.84,2.33,2
195,5.75,5.28,4.92,2
196,3.93,2.62,5.79,2
197,5.3,4.08,2.66,2
198,4.23,6.43,3.88,2
199,3.55,4.33,3.45,2
200,12.61,10.32,9.76,3
201,9.9,9.95,11.06,3
202,7.99,10.72,10.59,3
203,8.51,8.39,10.35,3
204,10.46,9.45,11.13,3
205,11.77,11.55,9.75,3
206,12.76,9.78,10.52,3
207,9.49,9.36,11.7,3
208,10.09,9.65,9.84,3
209,10.04,8.87,8.52,3
210,8.61,10.48,10.39,3
211,7.28,9.28,9.88,3
212,9.17,9.19,8.87,3
213,9.85,11.55,10.88,3
214,10.85,9.73,9.06,3
215,10.89,9.61,10.83,3
216,9.3,10.73,8.44,3
217,8.2,9.12,10.1,3
218,12.74,9.89,10.4,3
219,9.98,10.34,10.41,3
220,8.66,11.03,8.91,3
221,8.14,11.22,10.35,3
222,10.8,11.86,10.35,3
223,11.0,10.75,10.35,3
224,8.73,8.35,9.86,3
225,11.14,9.61,10.71,3
226,9.98,11.47,10.78,3
227,10.07,9.42,11.03,3
228,8.64,8.93,10.01,3
229,8.54,9.61,11.66,3
230,7.56,8.97,10.28,3
231,9.48,9.05,8.36,3
232,9.26,11.25,11.16,3
233,8.74,10.33,9.28,3
234,11.11,10.05,10.62,3
235,9.31,9.86,9.55,3
236,9.61,10.54,9.38,3
237,10.85,10.57,9.68,3
238,8.19,8.57,10.1,3
239,11.39,9.72,9.12,3
240,10.2,9.41,8.84,3
241,9.97,8.19,10.21,3
242,10.24,8.15,9.43,3
243,10.69,9.05,11.01,3
244,11.66,9.8,10.52,3
245,8.71,11.59,10.58,3
246,8.74,9.97,8.95,3
247,8.67,10.71,8.95,3
248,11.69,9.09,11.26,3
249,10.66,9.29,10.98,3
250,8.04,10.19,10.62,3
251,10.71,11.17,10.77,3
252,11.7,9.98,10.79,3
253,8.83,10.94,9.08,3
254,8.42,10.77,9.9,3
255,9.35,10.56,10.58,3
256,7.48,10.23,10.61,3
257,11.55,10.74,8.84,3
258,10.83,8.92,8.6,3
259,12.58,10.41,10.26,3
260,11.61,9.5,10.74,3
261,8.68,9.74,11.54,3
262,8.94,11.06,9.26,3
263,9.42,8.94,11.28,3
264,10.76,9.45,8.43,3
265,11.04,9.49,8.53,3
266,9.28,8.98,9.83,3
267,8.01,9.1,9.58,3
268,8.12,9.78,10.14,3
269,9.99,11.25,9.87,3
270,10.4,11.03,8.74,3
271,8.44,11.37,10.75,3
272,10.33,11.73,10.3,3
273,10.7,9.39,9.02,3
274,8.55,8.34,10.1,3
275,11.61,8.56,10.21,3
276,9.7,11.23,9.31,3
277,8.87,9.9,11.21,3
278,12.46,10.83,10.73,3
279,12.2,11.34,9.98,3
280,9.53,9.01,10.89,3
281,12.41,9.2,9.65,3
282,8.38,10.6,11.08,3
283,9.69,9.6,11.24,3
284,10.37,9.57,11.43,3
285,11.19,10.47,10.22,3
286,9.15,9.87,11.0,3
287,9.85,9.57,11.43,3
288,8.93,11.6,9.1,3
289,10.24,11.08,11.26,3
290,10.18,11.42,10.33,3
291,8.95,10.45,8.64,3
292,10.82,8.72,10.09,3
293,11.19,8.95,9.19,3
294,9.53,8.92,11.13,3
295,11.09,9.58,11.67,3
296,7.76,10.28,10.26,3
297,8.5,9.88,8.44,3
298,12.23,10.9,10.41,3
299,7.86,9.8,11.34,3
300,15.46,12.77,14.46,4
301,14.61,13.9,13.72,4
302,17.06,16.28,15.79,4
303,16.22,17.3,15.65,4
304,13.03,14.02,17.0,4
305,13.92,16.3,14.34,4
306,13.77,15.04,14.21,4
307,15.18,13.49,16.89,4
308,12.48,15.36,16.21,4
309,15.02,13.03,17.24,4
310,16.2,16.42,14.12,4
311,13.99,13.98,13.44,4
312,14.44,16.42,16.68,4
313,17.66,15.76,16.08,4
314,16.51,15.52,15.08,4
315,16.37,14.15,15.08,4
316,14.12,15.65,13.72,4
317,14.53,12.85,15.74,4
318,14.52,15.21,17.28,4
319,14.97,15.38,16.69,4
320,16.07,12.74,14.39,4
321,16.35,13.5,13.79,4
322,16.49,17.02,16.06,4
323,13.82,16.45,15.96,4
324,12.94,16.26,14.02,4
325,13.62,14.53,14.67,4
326,16.92,14.55,15.52,4
327,15.93,13.58,14.82,4
328,12.45,15.9,15.1,4
329,12.82,14.51,16.85,4
330,14.17,13.34,16.42,4
331,15.59,14.55,16.71,4
332,14.56,13.12,14.39,4
333,14.6,12.62,16.5,4
334,14.93,14.95,15.37,4
335,14.44,16.94,16.4,4
336,16.92,14.34,12.97,4
337,14.77,13.14,13.0,4
338,12.42,14.61,14.91,4
339,14.58,16.44,17.08,4
340,15.14,13.08,17.28,4
341,15.59,15.91,13.89,4
342,17.38,16.4,15.66,4
343,16.21,15.88,15.78,4
344,14.14,13.9,15.23,4
345,14.49,15.75,12.98,4
346,14.93,15.73,14.77,4
347,14.85,12.82,16.56,4
348,15.36,17.73,16.07,4
349,15.4,12.52,14.12,4
350,15.92,14.37,16.06,4
351,15.56,17.33,16.02,4
352,14.84,17.29,13.94,4
353,13.97,16.04,14.47,4
354,13.73,16.08,12.95,4
355,15.81,14.1,13.81,4
356,17.5,14.51,13.72,4
357,15.4,12.94,13.1,4
358,16.6,17.1,15.01,4
359,15.64,13.1,16.09,4
360,15.32,14.08,12.67,4
361,14.54,15.84,12.27,4
362,15.48,15.4,15.34,4
363,15.5,16.9,16.22,4
364,15.6,14.93,17.87,4
365,13.81,14.71,16.42,4
366,14.44,14.97,13.29,4
367,15.53,13.16,14.35,4
368,16.09,17.6,15.27,4
369,16.87,15.61,13.97,4
370,15.38,14.37,13.51,4
371,15.98,13.99,14.38,4
372,12.93,14.26,14.37,4
373,13.65,14.71,14.74,4
374,17.26,13.45,15.58,4
375,14.47,15.48,17.7,4
376,16.55,13.7,15.06,4
377,14.42,13.18,13.38,4
378,15.19,16.3,16.33,4
379,15.78,16.29,12.72,4
380,13.02,14.96,16.85,4
381,14.32,13.49,14.46,4
382,13.33,15.05,16.67,4
383,13.9,16.42,13.81,4
384,17.29,16.1,13.8,4
385,14.66,16.28,17.25,4
386,14.23,13.4,12.89,4
387,14.2,13.88,12.46,4
388,16.92,14.76,15.7,4
389,15.33,13.76,15.91,4
390,15.37,14.22,13.94,4
391,13.78,13.2,16.6,4
392,13.41,14.41,15.96,4
393,16.12,16.74,16.55,4
394,15.88,13.42,13.42,4
395,13.7,15.21,14.37,4
396,16.2,15.87,17.59,4
397,15.41,13.19,16.65,4
398,16.47,17.32,15.91,4
399,16.56,16.75,15.16,4
